zpid,street_address,city,zipcode,county,neighborhoodregion,listingurl,home_type,home_status,latitude,longitude,isincomerestricted,isundisclosedaddress,rentzestimate,gougingrule,tenpercentbaseprice,basepricedate,fair_market_rent,priceceiling,emergencypeakprice,peakpricedate,peakpriceincrease,currentprice,wasevergouged,peak_price_relative_to_fmr,current_price_relative_to_fmr
20796938,1100 Alta Loma Rd APT 802,West Hollywood,90069,Los Angeles County,,https://www.zillow.com/homedetails/20796938_zpid/,Condo,FOR_RENT,34.090958,-118.377335,,FALSE,5545,fmr,0,,3660,5856,9500,45681,0,9500,TRUE,2.595628415,2.595628415
2070037390,5453 Geer St,Los Angeles,90016,Los Angeles County,West Adams,https://www.zillow.com/homedetails/2070037390_zpid/,Apartment,FOR_RENT,34.03025,-118.362915,,FALSE,3951,fmr,0,,3350,5360,8999,45670,0,8999,TRUE,2.686268657,2.686268657
20796999,1100 Alta Loma Rd APT 1701,West Hollywood,90069,Los Angeles County,,https://www.zillow.com/homedetails/20796999_zpid/,Condo,FOR_RENT,34.09107,-118.377335,,FALSE,7809,fmr,0,,3660,5856,17500,45681,0,17500,TRUE,4.781420765,4.781420765
443942086,3026 S Cochran Ave,Los Angeles,90016,Los Angeles County,West Adams,https://www.zillow.com/homedetails/443942086_zpid/,Apartment,FOR_RENT,34.02607,-118.360985,,FALSE,,fmr,0,,1890,3024,4200,45670,0,4200,TRUE,2.222222222,2.222222222
443938859,3022 S Cochran Ave #B,Los Angeles,90016,Los Angeles County,West Adams,https://www.zillow.com/homedetails/443938859_zpid/,Apartment,FOR_RENT,34.02586,-118.36088,,FALSE,,fmr,0,,2380,3808,4500,45669,0,4500,TRUE,1.890756303,1.890756303
442690048,8558 Holloway Dr APT 305A,West Hollywood,90069,Los Angeles County,West Hollywood North,https://www.zillow.com/homedetails/442690048_zpid/,Apartment,FOR_RENT,34.090275,-118.378426,,FALSE,,tenpercent,4000,45659,4650,4400,5499,45704,0.37475,4995,TRUE,1.182580645,1.074193548
446287334,12855 W Runway Rd #3433,Playa Vista,90094,Los Angeles County,Playa Vista,https://www.zillow.com/homedetails/446287334_zpid/,Apartment,FOR_RENT,33.97556,-118.41956,,FALSE,,fmr,0,,3120,4992,5360,45682,0,5360,TRUE,1.717948718,1.717948718
20586061,3644 5th Ave,Los Angeles,90018,Los Angeles County,Jefferson Park,https://www.zillow.com/homedetails/20586061_zpid/,SingleFamily,FOR_RENT,34.021564,-118.32209,,FALSE,5408,tenpercent,7500,45602,3240,8250,10000,45665,0.333333333,8000,TRUE,3.086419753,2.469135802
2083098189,1857 W 24th St APT 1,Los Angeles,90018,Los Angeles County,Adams-Normandie,https://www.zillow.com/homedetails/2083098189_zpid/,Condo,FOR_RENT,34.034794,-118.30496,,FALSE,2424,tenpercent,1975,45548,2290,2172.5,2400,45672,0.215189873,2400,TRUE,1.048034934,1.048034934
20534263,502 Evelyn Pl,Beverly Hills,90210,Los Angeles County,Trousdale Estates,https://www.zillow.com/homedetails/20534263_zpid/,SingleFamily,FOR_RENT,34.110607,-118.39624,,FALSE,25666,fmr,0,,7215,11544,28000,45681,0,28000,TRUE,3.880803881,3.880803881
20600144,1662 S Ogden Dr,Los Angeles,90019,Los Angeles County,Mid City,https://www.zillow.com/homedetails/20600144_zpid/,SingleFamily,FOR_RENT,34.04534,-118.36577,,FALSE,7522,fmr,0,,1800,2880,3000,45670,0,3000,TRUE,1.666666667,1.666666667
20607735,1236 S Cloverdale Ave,Los Angeles,90019,Los Angeles County,Mid City,https://www.zillow.com/homedetails/20607735_zpid/,Apartment,FOR_RENT,34.05244,-118.34949,,FALSE,3296,fmr,0,,2540,4064,4200,45670,0,4200,TRUE,1.653543307,1.653543307
